id,z,y,x,volume_pixels,volume_um3
1,1.9112426035502958,17.171597633136095,18.307692307692307,169,169.0
2,14.508794788273615,58.305537459283386,20.657654723127035,3070,3070.0
3,2.6635220125786163,48.49528301886792,10.287735849056604,636,636.0
4,18.188298310671613,42.28018129377833,21.486608982282654,2427,2427.0
5,9.479057591623036,4.696335078534031,20.00785340314136,382,382.0
6,11.37037037037037,33.888888888888886,0.0,27,27.0
7,14.872458410351202,27.67097966728281,29.828096118299445,541,541.0
8,11.4,40.31428571428572,39.114285714285714,35,35.0
9,25.534800876872488,65.41898063573255,72.05830593106808,32844,32844.0
10,1.015267175572519,39.6412213740458,94.16030534351145,131,131.0
11,10.070188133140377,3.8632416787264834,86.34876989869754,1382,1382.0
12,10.5,47.18181818181818,99.0,22,22.0
13,13.452631578947368,29.426315789473684,97.2421052631579,380,380.0
14,16.724465558194776,32.40855106888361,86.68883610451306,421,421.0
15,5.474747474747475,73.52272727272727,1.2095959595959596,396,396.0
16,14.188617531617968,92.94646750981248,30.088748364587875,9172,9172.0
17,6.074129780833691,88.94348947142244,84.5118177911474,4654,4654.0
18,34.547608095676175,77.71366145354186,33.1630634774609,4348,4348.0
19,1.144578313253012,97.12650602409639,95.29518072289157,166,166.0
20,12.555555555555555,60.77777777777778,99.0,9,9.0
21,22.633597883597883,95.09347442680776,78.76940035273368,2268,2268.0
22,43.23805090006207,73.75,16.196927374301676,6444,6444.0
23,36.483282674772035,51.01823708206687,49.27355623100304,329,329.0
24,39.450901803607216,18.607214428857716,37.234468937875754,499,499.0
25,41.279411764705884,50.63235294117647,1.2058823529411764,204,204.0
26,44.625,38.625,52.8125,16,16.0
27,44.73913043478261,36.17391304347826,44.91304347826087,23,23.0
28,47.73134328358209,49.58507462686567,48.788059701492536,335,335.0
29,48.333333333333336,38.22222222222222,12.75925925925926,108,108.0
30,48.476190476190474,51.904761904761905,24.416666666666668,84,84.0
31,48.61194029850746,21.44776119402985,21.46268656716418,67,67.0
32,14.0,50.0,99.0,1,1.0
33,16.137931034482758,27.482758620689655,78.48275862068965,29,29.0
34,34.15447154471545,25.20189701897019,91.80442637759711,2214,2214.0
35,27.73574144486692,27.55893536121673,74.39733840304183,526,526.0
36,37.0,54.0,78.0,1,1.0
37,45.625814863102995,21.066492829204694,75.4993481095176,767,767.0
38,46.09159347553325,15.513174404015057,95.57340025094103,797,797.0
39,47.787234042553195,42.177304964539005,98.28368794326241,141,141.0
40,41.77808104136049,79.89691370984673,51.03821121142137,4763,4763.0
41,25.178137651821864,80.1417004048583,21.008097165991902,247,247.0
42,30.038961038961038,98.14285714285714,50.94805194805195,77,77.0
43,33.43728813559322,83.70847457627119,9.92542372881356,295,295.0
44,44.680939226519335,95.04558011049724,94.22237569060773,724,724.0
45,45.12592592592593,81.66666666666667,98.22962962962963,135,135.0
